"Time (s) 0","Angle, Ch P1 (rad) 0","Time (s) 0.04","Angle, Ch P1 (rad) 0.04","Time (s) 0.06","Angle, Ch P1 (rad) 0.06","Time (s) 0.1","Angle, Ch P1 (rad) 0.1","Time (s) 0.15","Angle, Ch P1 (rad) 0.15","Time (s) 0.2","Angle, Ch P1 (rad) 0.2","Time (s) 0.25","Angle, Ch P1 (rad) 0.25","Time (s) 0.3","Angle, Ch P1 (rad) 0.3","Time (s) 0.35","Angle, Ch P1 (rad) 0.35","Time (s) 0.4","Angle, Ch P1 (rad) 0.4","Time (s) 0.44","Angle, Ch P1 (rad) 0.44","Time (s) 0.46","Angle, Ch P1 (rad) 0.46","Time (s) 0.47","Angle, Ch P1 (rad) 0.47","Time (s) 0.49","Angle, Ch P1 (rad) 0.49","Time (s) 0.52","Angle, Ch P1 (rad) 0.52","Time (s) 0.51","Angle, Ch P1 (rad) 0.51","Time (s) 0.5","Angle, Ch P1 (rad) 0.5"
0.430,0.1806417125,0.430,-0.1429425725,0.430,0.1429425725,0.430,0.0958186475,0.430,0.2199116500,0.430,-0.2701771700,0.430,0.1633629400,0.430,-0.1350885850,0.430,-0.1900664975,0.430,-0.2576107900,0.430,0.0753982800,0.430,0.1492257625,0.430,-0.1256638000,0.430,-0.2324780300,0.430,0.1665045350,0.430,-0.1130974200,0.430,0.0722566850
0.440,0.1806417125,0.440,-0.1445133700,0.440,0.1492257625,0.440,0.0911062550,0.440,0.2167700550,0.440,-0.2733187650,0.440,0.1602213450,0.440,-0.1413717750,0.440,-0.1932080925,0.440,-0.2623231825,0.440,0.0691150900,0.440,0.1586505475,0.440,-0.1193806100,0.440,-0.2293364350,0.440,0.1602213450,0.440,-0.1068142300,0.440,0.0596903050
0.450,0.1822125100,0.450,-0.1445133700,0.450,0.1539381550,0.450,0.0848230650,0.450,0.2120576625,0.450,-0.2764603600,0.450,0.1555089525,0.450,-0.1492257625,0.450,-0.1947788900,0.450,-0.2670355750,0.450,0.0628319000,0.450,0.1680753325,0.450,-0.1130974200,0.450,-0.2261948400,0.450,0.1539381550,0.450,-0.0989602425,0.450,0.0455531275
0.460,0.1822125100,0.460,-0.1460841675,0.460,0.1586505475,0.460,0.0801106725,0.460,0.2089160675,0.460,-0.2780311575,0.460,0.1523673575,0.460,-0.1555089525,0.460,-0.1979204850,0.460,-0.2717479675,0.460,0.0565487100,0.460,0.1775001175,0.460,-0.1068142300,0.460,-0.2246240425,0.460,0.1476549650,0.460,-0.0911062550,0.460,0.0329867475
0.470,0.1822125100,0.470,-0.1460841675,0.470,0.1633629400,0.470,0.0738274825,0.470,0.2042036750,0.470,-0.2811727525,0.470,0.1476549650,0.470,-0.1633629400,0.470,-0.1994912825,0.470,-0.2748895625,0.470,0.0502655200,0.470,0.1853541050,0.470,-0.1005310400,0.470,-0.2199116500,0.470,0.1413717750,0.470,-0.0816814700,0.470,0.0188495700
0.480,0.1806417125,0.480,-0.1460841675,0.480,0.1680753325,0.480,0.0675442925,0.480,0.1979204850,0.480,-0.2827435500,0.480,0.1429425725,0.480,-0.1696461300,0.480,-0.2026328775,0.480,-0.2780311575,0.480,0.0439823300,0.480,0.1947788900,0.480,-0.0942478500,0.480,-0.2167700550,0.480,0.1350885850,0.480,-0.0738274825,0.480,0.0062831900
0.490,0.1806417125,0.490,-0.1476549650,0.490,0.1727877250,0.490,0.0612611025,0.490,0.1932080925,0.490,-0.2843143475,0.490,0.1366593825,0.490,-0.1759293200,0.490,-0.2042036750,0.490,-0.2811727525,0.490,0.0361283425,0.490,0.2010620800,0.490,-0.0879646600,0.490,-0.2136284600,0.490,0.1288053950,0.490,-0.0644026975,0.490,-0.0078539875
0.500,0.1790709150,0.500,-0.1476549650,0.500,0.1775001175,0.500,0.0549779125,0.500,0.1884957000,0.500,-0.2858851450,0.500,0.1319469900,0.500,-0.1822125100,0.500,-0.2042036750,0.500,-0.2843143475,0.500,0.0298451525,0.500,0.2089160675,0.500,-0.0816814700,0.500,-0.2089160675,0.500,0.1209514075,0.500,-0.0565487100,0.500,-0.0204203675
0.510,0.1790709150,0.510,-0.1476549650,0.510,0.1822125100,0.510,0.0486947225,0.510,0.1822125100,0.510,-0.2874559425,0.510,0.1256638000,0.510,-0.1884957000,0.510,-0.2057744725,0.510,-0.2858851450,0.510,0.0235619625,0.510,0.2151992575,0.510,-0.0753982800,0.510,-0.2042036750,0.510,0.1130974200,0.510,-0.0471239250,0.510,-0.0329867475
0.520,0.1775001175,0.520,-0.1476549650,0.520,0.1869249025,0.520,0.0424115325,0.520,0.1759293200,0.520,-0.2874559425,0.520,0.1209514075,0.520,-0.1932080925,0.520,-0.2057744725,0.520,-0.2874559425,0.520,0.0172787725,0.520,0.2214824475,0.520,-0.0675442925,0.520,-0.1979204850,0.520,0.1068142300,0.520,-0.0392699375,0.520,-0.0455531275
0.530,0.1759293200,0.530,-0.1460841675,0.530,0.1900664975,0.530,0.0345575450,0.530,0.1696461300,0.530,-0.2874559425,0.530,0.1146682175,0.530,-0.1994912825,0.530,-0.2073452700,0.530,-0.2890267400,0.530,0.0094247850,0.530,0.2277656375,0.530,-0.0612611025,0.530,-0.1932080925,0.530,0.0989602425,0.530,-0.0314159500,0.530,-0.0565487100
0.540,0.1743585225,0.540,-0.1460841675,0.540,0.1947788900,0.540,0.0282743550,0.540,0.1633629400,0.540,-0.2874559425,0.540,0.1083850275,0.540,-0.2042036750,0.540,-0.2073452700,0.540,-0.2890267400,0.540,0.0031415950,0.540,0.2324780300,0.540,-0.0549779125,0.540,-0.1869249025,0.540,0.0911062550,0.540,-0.0235619625,0.540,-0.0691150900
0.550,0.1727877250,0.550,-0.1460841675,0.550,0.1994912825,0.550,0.0204203675,0.550,0.1555089525,0.550,-0.2874559425,0.550,0.1021018375,0.550,-0.2089160675,0.550,-0.2057744725,0.550,-0.2890267400,0.550,-0.0031415950,0.550,0.2371904225,0.550,-0.0486947225,0.550,-0.1806417125,0.550,0.0848230650,0.550,-0.0157079750,0.550,-0.0801106725
0.560,0.1712169275,0.560,-0.1445133700,0.560,0.2026328775,0.560,0.0141371775,0.560,0.1492257625,0.560,-0.2874559425,0.560,0.0958186475,0.560,-0.2136284600,0.560,-0.2057744725,0.560,-0.2890267400,0.560,-0.0094247850,0.560,0.2419028150,0.560,-0.0408407350,0.560,-0.1743585225,0.560,0.0769690775,0.560,-0.0078539875,0.560,-0.0911062550
0.570,0.1696461300,0.570,-0.1445133700,0.570,0.2057744725,0.570,0.0062831900,0.570,0.1413717750,0.570,-0.2858851450,0.570,0.0895354575,0.570,-0.2183408525,0.570,-0.2042036750,0.570,-0.2874559425,0.570,-0.0157079750,0.570,0.2450444100,0.570,-0.0345575450,0.570,-0.1680753325,0.570,0.0691150900,0.570,-0.0015707975,0.570,-0.1021018375
0.580,0.1680753325,0.580,-0.1429425725,0.580,0.2104868650,0.580,-0.0015707975,0.580,0.1335177875,0.580,-0.2858851450,0.580,0.0832522675,0.580,-0.2214824475,0.580,-0.2042036750,0.580,-0.2858851450,0.580,-0.0219911650,0.580,0.2481860050,0.580,-0.0282743550,0.580,-0.1617921425,0.580,0.0612611025,0.580,0.0062831900,0.580,-0.1130974200
